Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Germany,10.451526,51.165690999999995,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,79329.12
Germany,10.451526,51.165690999999995,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,1231.27
Germany,10.451526,51.165690999999995,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,449.972
Germany,10.451526,51.165690999999995,Europe,EU,Uruguay,-55.765834999999996,-32.522779,South America,1000 US$,90.02
Germany,10.451526,51.165690999999995,Europe,EU,Vietnam,108.277199,14.058323999999999,Asia,1000 US$,1231.83
Germany,10.451526,51.165690999999995,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,9769.05
Germany,10.451526,51.165690999999995,Europe,EU,Malawi,34.301525,-13.254307999999998,Africa,1000 US$,214.52
Germany,10.451526,51.165690999999995,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,406.31
Germany,10.451526,51.165690999999995,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,1413.608
Germany,10.451526,51.165690999999995,Europe,EU,Argentina,-63.616671999999994,-38.416097,South America,1000 US$,9329.64
Germany,10.451526,51.165690999999995,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,7.14
Germany,10.451526,51.165690999999995,Europe,EU,Bangladesh,90.35633100000001,23.684994,Asia,1000 US$,3323.35
Germany,10.451526,51.165690999999995,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,11485.4
Germany,10.451526,51.165690999999995,Europe,EU,Canada,-106.34677099999999,56.130366,North America,1000 US$,24650.603
Germany,10.451526,51.165690999999995,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,24230.31
Germany,10.451526,51.165690999999995,Europe,EU,China_Hong Kong SAR,114.10949699999999,22.396428,Asia,1000 US$,263.457
Germany,10.451526,51.165690999999995,Europe,EU,Chile,-71.542969,-35.675146999999996,South America,1000 US$,3888.17
Germany,10.451526,51.165690999999995,Europe,EU,China_mainland,116.38333100000001,39.916668,Asia,1000 US$,14297.47
Germany,10.451526,51.165690999999995,Europe,EU,Congo,15.827658999999999,-0.228021,Africa,1000 US$,86.83
Germany,10.451526,51.165690999999995,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,28629.537
Germany,10.451526,51.165690999999995,Europe,EU,Iran,53.68804599999999,32.427908,Asia,1000 US$,134465.3
Germany,10.451526,51.165690999999995,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,29136.64
Germany,10.451526,51.165690999999995,Europe,EU,China_Taiwan Province of,120.96051499999999,23.69781,Asia,1000 US$,5975.59
Germany,10.451526,51.165690999999995,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,18098.911
Greece,21.824312,39.074208,Europe,EU,Lebanon,35.862285,33.854721000000005,Asia,1000 US$,443.8
Greece,21.824312,39.074208,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,6.19
