Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Partner_Countries,Arrlon,Arrlat,Partner_Continent,Unit,Export_Value_corrected
Ireland,-8.24389,53.41291,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,62.8
Ireland,-8.24389,53.41291,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,1064.464
Ireland,-8.24389,53.41291,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,64.659
Ireland,-8.24389,53.41291,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,70.09
Ireland,-8.24389,53.41291,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,575.52
Ireland,-8.24389,53.41291,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,383.617
Ireland,-8.24389,53.41291,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,1.37
Ireland,-8.24389,53.41291,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,36.73
Ireland,-8.24389,53.41291,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,39.4
Ireland,-8.24389,53.41291,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,1011.52
Italy,12.56738,41.87194,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,783.581
Italy,12.56738,41.87194,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,8.76
Italy,12.56738,41.87194,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,8.95
Italy,12.56738,41.87194,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,47.25
Italy,12.56738,41.87194,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,58.9
Italy,12.56738,41.87194,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,127.3
Italy,12.56738,41.87194,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,118.06
Italy,12.56738,41.87194,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,10150.34
Italy,12.56738,41.87194,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,252.1
Italy,12.56738,41.87194,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,73.06
Italy,12.56738,41.87194,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,13.24
Italy,12.56738,41.87194,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,2222.515
Italy,12.56738,41.87194,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,15.96
Italy,12.56738,41.87194,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,133.4
Italy,12.56738,41.87194,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,410.3
Italy,12.56738,41.87194,Europe,EU,Paraguay,-58.443832,-23.442503,South America,1000 US$,203.6
Italy,12.56738,41.87194,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,41.8
Italy,12.56738,41.87194,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,1136.09
Italy,12.56738,41.87194,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,471.15
Italy,12.56738,41.87194,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,20.8
Italy,12.56738,41.87194,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,1.79
Italy,12.56738,41.87194,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,439.13
Italy,12.56738,41.87194,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,6098.03
Italy,12.56738,41.87194,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,200.56
Italy,12.56738,41.87194,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,42.87
Luxembourg,6.129583,49.815273,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,1.03
Luxembourg,6.129583,49.815273,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,11.33
Netherlands,5.291266,52.132633,Europe,EU,Argentina,-63.616672,-38.416097,South America,1000 US$,8073.165
Netherlands,5.291266,52.132633,Europe,EU,Australia,133.775136,-25.274398,Oceania,1000 US$,87.5
Netherlands,5.291266,52.132633,Europe,EU,Bangladesh,90.356331,23.684994,Asia,1000 US$,32162.766
Netherlands,5.291266,52.132633,Europe,EU,Brazil,-51.92528,-14.235004,South America,1000 US$,48417.681
Netherlands,5.291266,52.132633,Europe,EU,Canada,-106.346771,56.130366,North America,1000 US$,1090.644
Netherlands,5.291266,52.132633,Europe,EU,Chile,-71.542969,-35.675147,South America,1000 US$,4388.279
Netherlands,5.291266,52.132633,Europe,EU,China_Hong Kong SAR,114.109497,22.396428,Asia,1000 US$,204.21
Netherlands,5.291266,52.132633,Europe,EU,China_mainland,116.383331,39.916668,Asia,1000 US$,36532.508
Netherlands,5.291266,52.132633,Europe,EU,China_Taiwan Province of,120.960515,23.69781,Asia,1000 US$,12792.69
Netherlands,5.291266,52.132633,Europe,EU,Colombia,-74.297333,4.570868,South America,1000 US$,5898.015
Netherlands,5.291266,52.132633,Europe,EU,Congo,15.827659,-0.228021,Africa,1000 US$,3408.757
Netherlands,5.291266,52.132633,Europe,EU,Indonesia,113.921327,-0.789275,Asia,1000 US$,59114.819
Netherlands,5.291266,52.132633,Europe,EU,Iran,53.688046,32.427908,Asia,1000 US$,105122.864
Netherlands,5.291266,52.132633,Europe,EU,Iraq,43.679291,33.223191,Asia,1000 US$,41528.66
Netherlands,5.291266,52.132633,Europe,EU,Ivory Coast,-5.54708,7.539989,Africa,1000 US$,17274.934
Netherlands,5.291266,52.132633,Europe,EU,Kenya,37.906193,-0.023559,Africa,1000 US$,11226.762
Netherlands,5.291266,52.132633,Europe,EU,Lebanon,35.862285,33.854721,Asia,1000 US$,40741.513
Netherlands,5.291266,52.132633,Europe,EU,Malawi,34.301525,-13.254308,Africa,1000 US$,874.25
Netherlands,5.291266,52.132633,Europe,EU,Mauritius,57.552152,-20.348404,Africa,1000 US$,7728.62
Netherlands,5.291266,52.132633,Europe,EU,Mexico,-102.552784,23.634501,North America,1000 US$,39255.83
Netherlands,5.291266,52.132633,Europe,EU,Morocco,-7.09262,31.791702,Africa,1000 US$,63172.634
Netherlands,5.291266,52.132633,Europe,EU,Mozambique,35.529562,-18.665695,Africa,1000 US$,266.74
Netherlands,5.291266,52.132633,Europe,EU,Paraguay,-58.443832,-23.442503,South America,1000 US$,1514.468
Netherlands,5.291266,52.132633,Europe,EU,Peru,-75.015152,-9.189967,South America,1000 US$,10053.46
Netherlands,5.291266,52.132633,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,274624.537
Netherlands,5.291266,52.132633,Europe,EU,Senegal,-14.452362,14.497401,Africa,1000 US$,4163.02
Netherlands,5.291266,52.132633,Europe,EU,Singapore,103.819836,1.352083,Asia,1000 US$,2304.136
Netherlands,5.291266,52.132633,Europe,EU,South Africa,22.937506,-30.559482,Africa,1000 US$,17866.592
Netherlands,5.291266,52.132633,Europe,EU,South Korea,127.766922,35.907757,Asia,1000 US$,19564.954
Netherlands,5.291266,52.132633,Europe,EU,Suriname,-56.027783,3.919305,South America,1000 US$,1623.182
Netherlands,5.291266,52.132633,Europe,EU,Thailand,100.992541,15.870032,Asia,1000 US$,73157.221
Netherlands,5.291266,52.132633,Europe,EU,Turkey,35.243322,38.963745,Asia,1000 US$,80448.627
Netherlands,5.291266,52.132633,Europe,EU,Uganda,32.290275,1.373333,Africa,1000 US$,26957.913
Netherlands,5.291266,52.132633,Europe,EU,United States of America,-95.712891,37.09024,North America,1000 US$,901.139
Netherlands,5.291266,52.132633,Europe,EU,Uruguay,-55.765835,-32.522779,South America,1000 US$,383.022
Netherlands,5.291266,52.132633,Europe,EU,Vietnam,108.277199,14.058324,Asia,1000 US$,1303.72
Netherlands Antilles,-68.2517,12.1902,Europe,EU,Suriname,-56.027783,3.919305,South America,1000 US$,126.9
Norway,8.468946,60.472024,Europe,EU,Saudi Arabia,45.079162,23.885942,Asia,1000 US$,10.5
